x,z,error
0.24,0.04,3.8029868820865815e-05
0.26,0.04,1.677818912871436e-05
0.28,0.04,4.710298757394947e-06
0.30000000000000004,0.04,2.6307518096886276e-05
0.32000000000000006,0.04,4.802657871890767e-05
0.3400000000000001,0.04,6.970374271359743e-05
0.3600000000000001,0.04,9.120105693848989e-05
0.3800000000000001,0.04,0.00011250247144518134
0.40000000000000013,0.04,0.0001333351173450338
0.41999999999999993,0.04,0.00015367455853118419
0.43999999999999995,0.04,0.00017347613929164543
0.45999999999999996,0.04,0.00019248001606250492
0.48,0.04,0.00021066630930754535
0.5,0.04,0.00022795690136612494
0.52,0.04,0.00024411270371917277
0.54,0.04,0.00025918173875326205
0.56,0.04,0.00027275927865714626
0.5800000000000001,0.04,0.00028499893048876217
0.6000000000000001,0.04,0.00029528260145666064
0.6200000000000001,0.04,0.0003040426516887544
0.6400000000000001,0.04,0.00031072776538268866
0.6600000000000001,0.04,0.0003151655910522181
0.6799999999999999,0.04,0.00031749997469923837
0.7,0.04,0.00031719928236839835
0.72,0.04,0.00031432612157693426
0.74,0.04,0.0003085718192378036
0.76,0.04,0.00030004890542554056
0.78,0.04,0.000288353753149528
0.8,0.04,0.00027356630292662784
0.8200000000000001,0.04,0.0002554184876544156
0.8400000000000001,0.04,0.00023406770735520842
0.8600000000000001,0.04,0.00020938868232036587
0.8800000000000001,0.04,0.00018136813032668502
0.9000000000000001,0.04,0.00015027108476588973
0.9199999999999999,0.04,0.00011649652240143246
0.94,0.04,8.118569836786192e-05
0.96,0.04,5.042780785746164e-05
0.98,0.04,4.7949406165102464e-05
1.0,0.04,8.258169165084074e-05
-1.0,0.05,0.0002976800779587747
-0.98,0.05,0.0002969044591111731
-0.96,0.05,0.000295409487436021
-0.94,0.05,0.00029264606371346726
-0.92,0.05,0.00028853923228918293
-0.9,0.05,0.00028261482916842537
-0.88,0.05,0.00027493059431929213
-0.86,0.05,0.0002654024289475576
-0.84,0.05,0.00025397166702626205
-0.8200000000000001,0.05,0.0002406783151097327
-0.8,0.05,0.00022582815699420352
-0.78,0.05,0.0002092903955108434
-0.76,0.05,0.00019160644122929326
-0.74,0.05,0.00017283092037706307
